Ticker,Current_MACDV,Zone,Zone_Display,Cat_Percentile,Asym_Percentile,Interpretation
SLV,74.3,strong_bullish,Strong Bullish (+50 to +100),38.1,75.0,ðŸ“‰ Weakening
MSFT,-113.1,extreme_bearish,Extreme Bearish (<-100),16.7,10.0,âš ï¸ Extreme bearish
NVDA,10.2,ranging,Ranging (-50 to +50),59.4,50.0,âž¡ï¸ Mid-range
BTC-USD,-126.1,extreme_bearish,Extreme Bearish (<-100),31.2,10.0,â†˜ï¸ Weakening
NFLX,-157.6,extreme_bearish,Extreme Bearish (<-100),2.6,10.0,âš ï¸ Extreme bearish
UNH,-109.2,extreme_bearish,Extreme Bearish (<-100),85.7,10.0,ðŸ”„ High recovery
LLY,-20.9,ranging,Ranging (-50 to +50),20.4,25.0,ðŸ“‰ Lower range
QQQ,18.6,ranging,Ranging (-50 to +50),43.5,50.0,âž¡ï¸ Mid-range
NQ=F,6.5,ranging,Ranging (-50 to +50),22.4,50.0,ðŸ“‰ Lower range
SPY,37.2,ranging,Ranging (-50 to +50),61.5,50.0,ðŸ“ˆ Upper range
